normalized_name,stack_v2_name,currently_supported
1c enterprise,1C Enterprise,no
2-dimensional array,2-Dimensional Array,no
4d,4D,no
abap,ABAP,no
actionscript,ActionScript,no
ada,Ada,yes
adobe font metrics,Adobe Font Metrics,no
agda,Agda,yes
ags script,AGS Script,no
aidl,AIDL,no
al,AL,no
alloy,Alloy,no
alpine abuild,Alpine Abuild,no
altium designer,Altium Designer,no
ampl,AMPL,no
angelscript,AngelScript,no
ant build system,Ant Build System,no
antlers,Antlers,no
antlr,ANTLR,yes
apacheconf,ApacheConf,no
apex,Apex,yes
api blueprint,API Blueprint,no
apl,APL,no
apollo guidance computer,Apollo Guidance Computer,no
applescript,AppleScript,no
arc,Arc,no
asciidoc,AsciiDoc,no
asl,ASL,no
asn.1,ASN.1,no
asp.net,ASP.NET,no
aspectj,AspectJ,no
assembly,Assembly,yes
astro,Astro,no
asymptote,Asymptote,no
ats,ATS,no
augeas,Augeas,no
autohotkey,AutoHotkey,no
autoit,AutoIt,no
avro idl,Avro IDL,no
awk,Awk,no
ballerina,Ballerina,no
basic,BASIC,no
batchfile,Batchfile,no
beef,Beef,no
berry,Berry,no
bibtex,BibTeX,no
bicep,Bicep,no
bikeshed,Bikeshed,no
bitbake,BitBake,no
blade,Blade,no
blitzbasic,BlitzBasic,no
blitzmax,BlitzMax,no
bluespec,Bluespec,no
boo,Boo,no
boogie,Boogie,no
brainfuck,Brainfuck,no
brighterscript,BrighterScript,no
brightscript,Brightscript,no
browserslist,Browserslist,no
c,C,yes
c#,C#,yes
c++,C++,yes
c2hs haskell,C2hs Haskell,no
cabal config,Cabal Config,no
cadence,Cadence,no
cap cds,CAP CDS,no
cap'n proto,Cap'n Proto,no
cartocss,CartoCSS,no
ceylon,Ceylon,no
chapel,Chapel,no
checksums,Checksums,no
chuck,ChucK,no
cil,CIL,no
cirru,Cirru,no
clarion,Clarion,no
classic asp,Classic ASP,no
clean,Clean,no
click,Click,no
clips,CLIPS,no
clojure,Clojure,no
closure templates,Closure Templates,no
cloud firestore security rules,Cloud Firestore Security Rules,no
cmake,CMake,no
cobol,COBOL,yes
codeowners,CODEOWNERS,no
codeql,CodeQL,no
coffeescript,CoffeeScript,no
coldfusion,ColdFusion,no
coldfusion cfc,ColdFusion CFC,no
collada,COLLADA,no
common workflow language,Common Workflow Language,no
component pascal,Component Pascal,no
conll-u,CoNLL-U,no
cool,Cool,no
coq,Coq,yes
creole,Creole,no
crystal,Crystal,yes
cson,CSON,no
csound,Csound,no
csound document,Csound Document,no
csound score,Csound Score,no
css,CSS,no
csv,CSV,no
cuda,Cuda,yes
cue,CUE,no
cue sheet,Cue Sheet,no
curry,Curry,no
cweb,CWeb,no
cycript,Cycript,no
cython,Cython,no
d,D,yes
dafny,Dafny,no
dart,Dart,yes
dataweave,DataWeave,no
debian package control file,Debian Package Control File,no
denizenscript,DenizenScript,no
desktop,desktop,no
dhall,Dhall,no
diff,Diff,no
digital command language,DIGITAL Command Language,no
dircolors,dircolors,no
directx 3d file,DirectX 3D File,no
dm,DM,no
dns zone,DNS Zone,no
dockerfile,Dockerfile,no
dtrace,DTrace,no
dylan,Dylan,no
e,E,no
e-mail,E-mail,no
eagle,Eagle,no
easybuild,Easybuild,no
ebnf,EBNF,no
ec,eC,no
ecl,ECL,no
eclipse,ECLiPSe,no
editorconfig,EditorConfig,no
edje data collection,Edje Data Collection,no
edn,edn,no
eiffel,Eiffel,no
ejs,EJS,no
elixir,Elixir,yes
elm,Elm,yes
elvish,Elvish,no
emacs lisp,Emacs Lisp,no
emberscript,EmberScript,no
eq,EQ,no
erlang,Erlang,yes
euphoria,Euphoria,no
f#,F#,yes
f*,F*,no
factor,Factor,no
fantom,Fantom,no
faust,Faust,no
fennel,Fennel,no
figlet font,FIGlet Font,no
filebench wml,Filebench WML,no
fish,fish,no
fluent,Fluent,no
flux,FLUX,no
formatted,Formatted,no
forth,Forth,yes
fortran,Fortran,yes
fortran free form,Fortran Free Form,no
freebasic,FreeBasic,no
freemarker,FreeMarker,no
frege,Frege,no
futhark,Futhark,no
g-code,G-code,no
game maker language,Game Maker Language,no
gaml,GAML,no
gams,GAMS,no
gap,GAP,no
gcc machine description,GCC Machine Description,no
gdb,GDB,no
gdscript,GDScript,no
gedcom,GEDCOM,no
gemfile.lock,Gemfile.lock,no
genero,Genero,no
genero forms,Genero Forms,no
genshi,Genshi,no
gentoo ebuild,Gentoo Ebuild,no
gentoo eclass,Gentoo Eclass,no
gerber image,Gerber Image,no
gettext catalog,Gettext Catalog,no
gherkin,Gherkin,no
git attributes,Git Attributes,no
git config,Git Config,no
git revision list,Git Revision List,no
glsl,GLSL,no
glyph bitmap distribution format,Glyph Bitmap Distribution Format,no
gn,GN,no
gnuplot,Gnuplot,no
go,Go,yes
go checksums,Go Checksums,no
go module,Go Module,no
golo,Golo,no
gosu,Gosu,no
grace,Grace,no
gradle,Gradle,no
grammatical framework,Grammatical Framework,no
graph modeling language,Graph Modeling Language,no
graphql,GraphQL,yes
graphviz (dot),Graphviz (DOT),no
groovy,Groovy,yes
groovy server pages,Groovy Server Pages,no
gsc,GSC,no
hack,Hack,yes
haml,Haml,no
handlebars,Handlebars,no
haproxy,HAProxy,no
harbour,Harbour,no
haskell,Haskell,yes
haxe,Haxe,no
hcl,HCL,no
hiveql,HiveQL,no
hlsl,HLSL,no
hocon,HOCON,no
holyc,HolyC,no
hoon,hoon,no
html,HTML,yes
html+ecr,HTML+ECR,no
html+eex,HTML+EEX,no
html+erb,HTML+ERB,no
html+php,HTML+PHP,no
html+razor,HTML+Razor,no
http,HTTP,no
hxml,HXML,no
hy,Hy,no
hyphy,HyPhy,no
idl,IDL,no
idris,Idris,no
ignore list,Ignore List,no
igor pro,IGOR Pro,no
imagej macro,ImageJ Macro,no
inform 7,Inform 7,no
ini,INI,no
inno setup,Inno Setup,no
io,Io,no
irc log,IRC log,no
isabelle,Isabelle,no
isabelle root,Isabelle ROOT,no
j,J,no
jar manifest,JAR Manifest,no
jasmin,Jasmin,no
java,Java,yes
java properties,Java Properties,no
java server pages,Java Server Pages,no
javascript,JavaScript,yes
javascript+erb,JavaScript+ERB,no
jest snapshot,Jest Snapshot,no
jetbrains mps,JetBrains MPS,no
jflex,JFlex,no
jinja,Jinja,no
jison,Jison,no
jolie,Jolie,no
jq,jq,no
json,JSON,no
json with comments,JSON with Comments,no
json5,JSON5,no
jsoniq,JSONiq,no
jsonld,JSONLD,no
jsonnet,Jsonnet,no
julia,Julia,yes
jupyter notebook,Jupyter Notebook,no
kaitai struct,Kaitai Struct,no
kakounescript,KakouneScript,no
kicad layout,KiCad Layout,no
kicad legacy layout,KiCad Legacy Layout,no
kicad schematic,KiCad Schematic,no
kit,Kit,no
kotlin,Kotlin,yes
krl,KRL,no
kusto,Kusto,no
kvlang,kvlang,no
labview,LabVIEW,no
lark,Lark,no
lasso,Lasso,no
latte,Latte,no
lean,Lean,no
less,Less,yes
lex,Lex,no
lfe,LFE,no
lilypond,LilyPond,no
limbo,Limbo,no
linker script,Linker Script,no
linux kernel module,Linux Kernel Module,no
liquid,Liquid,no
